type,show_title,week,type2,year,url,url2,url3,url4
m,my_name_is_loh_kiwan,2024-03-17,tv,2024,https://www.rottentomatoes.com/m/my_name_is_loh_kiwan_2024,https://www.rottentomatoes.com/m/my_name_is_loh_kiwan,https://www.rottentomatoes.com/tv/my_name_is_loh_kiwan_2024,https://www.rottentomatoes.com/tv/my_name_is_loh_kiwan
m,my_name_is_vendetta,2024-03-24,tv,2024,https://www.rottentomatoes.com/m/my_name_is_vendetta_2024,https://www.rottentomatoes.com/m/my_name_is_vendetta,https://www.rottentomatoes.com/tv/my_name_is_vendetta_2024,https://www.rottentomatoes.com/tv/my_name_is_vendetta
m,my_wonderful_life,2022-03-06,tv,2022,https://www.rottentomatoes.com/m/my_wonderful_life_2022,https://www.rottentomatoes.com/m/my_wonderful_life,https://www.rottentomatoes.com/tv/my_wonderful_life_2022,https://www.rottentomatoes.com/tv/my_wonderful_life
tv,mysteries_of_the_faith,2023-11-05,m,2023,https://www.rottentomatoes.com/tv/mysteries_of_the_faith_2023,https://www.rottentomatoes.com/tv/mysteries_of_the_faith,https://www.rottentomatoes.com/m/mysteries_of_the_faith_2023,https://www.rottentomatoes.com/m/mysteries_of_the_faith
m,naga,2023-12-17,tv,2023,https://www.rottentomatoes.com/m/naga_2023,https://www.rottentomatoes.com/m/naga,https://www.rottentomatoes.com/tv/naga_2023,https://www.rottentomatoes.com/tv/naga
tv,nascar_full_speed,2024-02-04,m,2024,https://www.rottentomatoes.com/tv/nascar_full_speed_2024,https://www.rottentomatoes.com/tv/nascar_full_speed,https://www.rottentomatoes.com/m/nascar_full_speed_2024,https://www.rottentomatoes.com/m/nascar_full_speed
m,nyad,2023-11-12,tv,2023,https://www.rottentomatoes.com/m/nyad_2023,https://www.rottentomatoes.com/m/nyad,https://www.rottentomatoes.com/tv/nyad_2023,https://www.rottentomatoes.com/tv/nyad
tv,narcosaints,2022-10-09,m,2022,https://www.rottentomatoes.com/tv/narcosaints_2022,https://www.rottentomatoes.com/tv/narcosaints,https://www.rottentomatoes.com/m/narcosaints_2022,https://www.rottentomatoes.com/m/narcosaints
m,narvik,2023-02-19,tv,2023,https://www.rottentomatoes.com/m/narvik_2023,https://www.rottentomatoes.com/m/narvik,https://www.rottentomatoes.com/tv/narvik_2023,https://www.rottentomatoes.com/tv/narvik
m,navarasa,2021-08-15,tv,2021,https://www.rottentomatoes.com/m/navarasa_2021,https://www.rottentomatoes.com/m/navarasa,https://www.rottentomatoes.com/tv/navarasa_2021,https://www.rottentomatoes.com/tv/navarasa
