category,show_title,week,category2,year,url,url2,url3,url4
tv,destined_with_you,2023-10-15,m,2023,https://www.rottentomatoes.com/tv/destined_with_you_2023,https://www.rottentomatoes.com/tv/destined_with_you,https://www.rottentomatoes.com/m/destined_with_you_2023,https://www.rottentomatoes.com/m/destined_with_you
tv,spy_x_family,2023-10-15,m,2023,https://www.rottentomatoes.com/tv/spy_x_family_2023,https://www.rottentomatoes.com/tv/spy_x_family,https://www.rottentomatoes.com/m/spy_x_family_2023,https://www.rottentomatoes.com/m/spy_x_family
tv,di4ries,2023-10-15,m,2023,https://www.rottentomatoes.com/tv/di4ries_2023,https://www.rottentomatoes.com/tv/di4ries,https://www.rottentomatoes.com/m/di4ries_2023,https://www.rottentomatoes.com/m/di4ries
m,love_is_in_the_air,2023-10-08,tv,2023,https://www.rottentomatoes.com/m/love_is_in_the_air_2023,https://www.rottentomatoes.com/m/love_is_in_the_air,https://www.rottentomatoes.com/tv/love_is_in_the_air_2023,https://www.rottentomatoes.com/tv/love_is_in_the_air
m,life_of_a_king,2023-10-08,tv,2023,https://www.rottentomatoes.com/m/life_of_a_king_2023,https://www.rottentomatoes.com/m/life_of_a_king,https://www.rottentomatoes.com/tv/life_of_a_king_2023,https://www.rottentomatoes.com/tv/life_of_a_king
m,infinite,2023-10-08,tv,2023,https://www.rottentomatoes.com/m/infinite_2023,https://www.rottentomatoes.com/m/infinite,https://www.rottentomatoes.com/tv/infinite_2023,https://www.rottentomatoes.com/tv/infinite
m,spy_kids_armageddon,2023-10-08,tv,2023,https://www.rottentomatoes.com/m/spy_kids_armageddon_2023,https://www.rottentomatoes.com/m/spy_kids_armageddon,https://www.rottentomatoes.com/tv/spy_kids_armageddon_2023,https://www.rottentomatoes.com/tv/spy_kids_armageddon
m,last_vegas,2023-10-08,tv,2023,https://www.rottentomatoes.com/m/last_vegas_2023,https://www.rottentomatoes.com/m/last_vegas,https://www.rottentomatoes.com/tv/last_vegas_2023,https://www.rottentomatoes.com/tv/last_vegas
m,identity_thief,2023-10-08,tv,2023,https://www.rottentomatoes.com/m/identity_thief_2023,https://www.rottentomatoes.com/m/identity_thief,https://www.rottentomatoes.com/tv/identity_thief_2023,https://www.rottentomatoes.com/tv/identity_thief
m,the_black_book,2023-10-08,tv,2023,https://www.rottentomatoes.com/m/the_black_book_2023,https://www.rottentomatoes.com/m/the_black_book,https://www.rottentomatoes.com/tv/the_black_book_2023,https://www.rottentomatoes.com/tv/the_black_book
tv,ice_cold_murder_coffee_and_jessica_wongso,2023-10-08,m,2023,https://www.rottentomatoes.com/tv/ice_cold_murder_coffee_and_jessica_wongso_2023,https://www.rottentomatoes.com/tv/ice_cold_murder_coffee_and_jessica_wongso,https://www.rottentomatoes.com/m/ice_cold_murder_coffee_and_jessica_wongso_2023,https://www.rottentomatoes.com/m/ice_cold_murder_coffee_and_jessica_wongso
tv,street_flow_2,2023-10-08,m,2023,https://www.rottentomatoes.com/tv/street_flow_2_2023,https://www.rottentomatoes.com/tv/street_flow_2,https://www.rottentomatoes.com/m/street_flow_2_2023,https://www.rottentomatoes.com/m/street_flow_2
tv,jaane_jaan,2023-10-08,m,2023,https://www.rottentomatoes.com/tv/jaane_jaan_2023,https://www.rottentomatoes.com/tv/jaane_jaan,https://www.rottentomatoes.com/m/jaane_jaan_2023,https://www.rottentomatoes.com/m/jaane_jaan
tv,encounters,2023-10-08,m,2023,https://www.rottentomatoes.com/tv/encounters_2023,https://www.rottentomatoes.com/tv/encounters,https://www.rottentomatoes.com/m/encounters_2023,https://www.rottentomatoes.com/m/encounters
tv,castlevania_nocturne,2023-10-08,m,2023,https://www.rottentomatoes.com/tv/castlevania_nocturne_2023,https://www.rottentomatoes.com/tv/castlevania_nocturne,https://www.rottentomatoes.com/m/castlevania_nocturne_2023,https://www.rottentomatoes.com/m/castlevania_nocturne
tv,murdaugh_murders_a_southern_scandal,2023-10-08,m,2023,https://www.rottentomatoes.com/tv/murdaugh_murders_a_southern_scandal_2023,https://www.rottentomatoes.com/tv/murdaugh_murders_a_southern_scandal,https://www.rottentomatoes.com/m/murdaugh_murders_a_southern_scandal_2023,https://www.rottentomatoes.com/m/murdaugh_murders_a_southern_scandal
